"","knnmodel_smote[[""roc""]][[""sensitivities""]]","knnmodel_smote[[""roc""]][[""specificities""]]"
"1",1,0
"2",1,0.0248903346641037
"3",1,0.025136773621174
"4",0.997042045214452,0.0587510473655675
"5",0.997042045214452,0.0588003351569816
"6",0.997042045214452,0.0596382276110207
"7",0.992605113036129,0.102025728227118
"8",0.992182548066765,0.103356498595298
"9",0.983519966194802,0.153383606880576
"10",0.983097401225438,0.154467938291685
"11",0.969997887175153,0.215436936270886
"12",0.969575322205789,0.217014145596136
"13",0.950771181069089,0.28517916112179
"14",0.950771181069089,0.285228448913204
"15",0.950771181069089,0.286362068115728
"16",0.923727023029791,0.359061560451476
"17",0.923727023029791,0.35911084824289
"18",0.923093175575745,0.360540194193898
"19",0.888654130572576,0.434915471437725
"20",0.888654130572576,0.435014047020553
"21",0.888442848087894,0.435802651683178
"22",0.838157616733573,0.512888757454778
"23",0.838157616733573,0.512938045246192
"24",0.837101204310163,0.51412095224013
"25",0.787027255440524,0.590172014392035
"26",0.787027255440524,0.590221302183449
"27",0.786393407986478,0.591256345803145
"28",0.786393407986478,0.591305633594559
"29",0.726389182336784,0.662920794519198
"30",0.725755334882738,0.662970082310612
"31",0.725332769913374,0.664202277095963
"32",0.725332769913374,0.664300852678791
"33",0.654130572575534,0.728769283848391
"34",0.653074160152123,0.729755039676672
"35",0.653074160152123,0.729804327468086
"36",0.586097612507923,0.788900389373552
"37",0.586097612507923,0.789984720784662
"38",0.585886330023241,0.790034008576076
"39",0.504965138390027,0.844102715757307
"40",0.503274878512571,0.844940608211346
"41",0.502852313543207,0.844940608211346
"42",0.419607014578491,0.888560303612795
"43",0.417916754701035,0.889447483858248
"44",0.417916754701035,0.889496771649662
"45",0.33784069300655,0.925328996007689
"46",0.336361715613776,0.925772586130415
"47",0.258821043735474,0.951993691162699
"48",0.256708218888654,0.95248656907684
"49",0.256708218888654,0.952535856868254
"50",0.256496936403972,0.952535856868254
"51",0.187407563912952,0.973433880427818
"52",0.186773716458906,0.973729607176302
"53",0.186773716458906,0.973778894967717
"54",0.123811536023664,0.985607964907092
"55",0.122121276146207,0.985657252698507
"56",0.121909993661525,0.985805116072749
"57",0.0688780900063385,0.993592587116171
"58",0.0676103950982464,0.993986889447484
"59",0.0676103950982464,0.994036177238898
"60",0.0325375026410311,0.998127063926265
"61",0.0302133953095288,0.998127063926265
"62",0.0297908303401648,0.998225639509094
"63",0.0295795478554828,0.998225639509094
"64",0,1
